	title	description	source	date	open_coding_topic	sentiment	sentimental_words
180	Carney considering trip to Washington after dismissing question about his last contact with Trump	Less than 48 hours after Prime Minister Mark Carney dismissed a question about when he ...	ctvnews.ca	2025-11-24T12:00:00-05:00	International	Negative	dismissed a question
181	‘He should care’: Conservatives slam Carney on Trump comments	OTTAWA — Conservative MPs slammed Prime Minister Mark Carney Monday over dismissive comments he made ...	ctvnews.ca	2025-11-24T12:00:00-05:00	International	Negative	Conservatives slam Carney, dismissive comments
182	MPs swipe at Carney’s claim that Canada has no feminist foreign policy	Prime Minister Mark Carney’s claim that Canada does not have a “feminist foreign policy” spilled ...	ctvnews.ca	2025-11-24T12:00:00-05:00	National	Negative	MPs swipe at Carney’s claim
183	Sikh groups accuse PM Carney of ‘selling out Canadians’ by renewing economic ties to India		ctvnews.ca	2025-11-24T12:00:00-05:00	International	Negative	accuse PM Carney of ‘selling out Canadians’
184	Carney says Canada and India can be ‘reliable trading partners’	The prime ministers of Canada and India have agreed to launch negotiations towards a new ...	ctvnews.ca	2025-11-23T12:00:00-05:00Z	International	Positive	Agreed to launch negotiations
185	Carney: No ‘burning issue’ to bring up with Trump	JOHANNESBURG — Prime Minister Mark Carney is in no hurry to resume trade talks with ...	ctvnews.ca	2025-11-23T12:00:00-05:00	International	Neutral	
186	Carney says Canada upholding values but drops talk of ‘feminist foreign policy’	JOHANNESBURG — Prime Minister Mark Carney says Canada no longer has a feminist foreign policy, ...	ctvnews.ca	2025-11-23T12:00:00-05:00	International	Neutral	
187	PM Carney says there are ‘a host of issues’ with Ukraine peace deal,unknown if ...		ctvnews.ca	2025-11-23T12:00:00-05:00	International	Neutral	
188	PM Mark Carney continues ‘pragmatic’ relationship for an India-Canada trade deal		ctvnews.ca	2025-11-23T12:00:00-05:00	International	Positive	continues ‘pragmatic’ relationship
189	CTV QP: PM Carney confirms deal with UAE, more international trade deals coming		ctvnews.ca	2025-11-23T12:00:00-05:00	International	Positive	Confirms deal
190	PM Carney meets with Indian PM Modi on trade,economic relations,more		ctvnews.ca	2025-11-23T12:00:00-05:00	Internaional	Neutral	
191	CTV National News: PM Carney promotes Canadian investment at G20 amid U.S. boycott		ctvnews.ca	2025-11-22T12:00:00-05:00	Public Relations	Positive	Investment
192	PM Carney may have ‘missed an opportunity’ to talk about Sudan when meeting with UAE: ...		ctvnews.ca	2025-11-21T12:00:00-05:00	International	Negative	missed an opportunity
193	CTV National News: PM Carney arrives in South Africa for the G20 after a successful ...		ctvnews.ca	2025-11-21T12:00:00-05:00	International	Positive	successful
194	How should PM Carney handle the intensifying pipeline negotiations?		ctvnews.ca	2025-11-21T12:00:00-05:00	National	Neutral	
195	Carney in South Africa as concerns grow over U.S. boycott of G20	Prime Minister Mark Carney is in South Africa for a G20 summit overshadowed by a ...	ctvnews.ca	2025-11-21T12:00:00-05:00Z	International	Neutral	
196	Canada cuts back spending on fighting infectious diseases at G20 in South Africa	Prime Minister Mark Carney has made Canada’s first-ever cut to funding for a major program ...	ctvnews.ca	2025-11-21T12:00:00-05:00	International	Neutral	
197	PM Carney is headed to South Africa for G20 Summit after UAE deal		ctvnews.ca	2025-11-21T12:00:00-05:00	International	Neutral	
198	PM Carney ‘cannot feign ignorance’ about UAE involvement in Sudan war: human rights group		ctvnews.ca	2025-11-21T12:00:00-05:00	International	Negative	Carney ‘cannot feign ignorance’
199	PM Mark Carney signs new trade pact with UAE		ctvnews.ca	2025-11-21T12:00:00-05:00	International	Neutral	
200	'This is significant': Carney ends UAE visit with an investment commitment for Canada		ctvnews.ca	2025-11-21T12:00:00-05:00	International	Neutral	
201	Carney wraps United Arab Emirates visit with pledge of $70B to be invested in Canada	ABU DHABI — Prime Minister Mark Carney says Ottawa is working on a $1-billion project ...	ctvnews.ca	2025-11-21T12:00:00-05:00	International	Positive	pledge of $70B to be invested in Canada
202	Murphy’s Logic: Lots of spending with little enthusiasm	His minority government may have survived but… Mark Carney’s first budget as prime minister hasn’t ...	ctvnews.ca	2025-11-20T12:00:00-05:00	National	Negative	little enthusiasm
203	Discussions on free trade, regional security on the agenda for PM Carney’s first day in ...		ctvnews.ca	2025-11-20T12:00:00-05:00	National	Neutral	
204	Carney signs UAE investment pact, launches trade talks during Abu Dhabi visit	Prime Minister Mark Carney signed an investment-protection agreement Thursday with the United Arab Emirates during ...	ctvnews.ca	2025-11-20T12:00:00-05:00	International	Neutral	
205	Carney signs UAE investment pact		ctvnews.ca	2025-11-20T12:00:00-05:00	International	Neutral	
206	CTV National News: PM Mark Carney arrives in UAE ahead of G20 for key trade ...		ctvnews.ca	2025-11-19T12:00:00-05:00	International	Neutral	
207	Carney to sign investment agreement, launch Canada-United Arab Emirates trade talks: official	ABU DHABI – Prime Minister Mark Carney intends to sign a long-negotiated investment agreement, as ...	ctvnews.ca	2025-11-19T12:00:00-05:00	International	Positive	intends to sign a long-negotiated investment agreement
208	PM Mark Carney heading to UAE, South Africa after latest major projects approval		ctvnews.ca	2025-11-19T12:00:00-05:00	International	Neutral	
209	‘Carney is going to the UAE because that’s where the money is’: McLaughlin		ctvnews.ca	2025-11-19T12:00:00-05:00	International	Negative	Carney is going to the UAE because that’s where the money is
210	CTV National News: PM Carney travels to UAE seeking new trade and diplomatic ties		ctvnews.ca	2025-11-18T12:00:00-05:00	International	Positive	seeking new trade and diplomatic ties
211	PM Carney 'walking that tightrope' with Alberta and possible pipeline agreement		ctvnews.ca	2025-11-18T12:00:00-05:00	National	Neutral	
212	Aiming to attract capital to Canada,Carney departing for two of world’s largest emerging markets	Prime Minister Mark Carney is departing for a nearly week-long trip to the United Arab ...	ctvnews.ca	2025-11-18T12:00:00-05:00	International	Neutral	
